match_id,round,home_uid,home,away_uid,away,res_home,res_away,p1_home,p1_away,ft_home,ft_away
1387287186,7,276501,Everton,276516,Nottingham,3,1,2,0,3,1
1387277537,25,276501,Everton,276516,Nottingham,1,1,0,0,1,1
1387277417,10,276516,Nottingham,276501,Everton,0,2,0,0,0,2
1387268632,29,276501,Everton,276516,Nottingham,4,0,3,0,4,0
1387268512,14,276516,Nottingham,276501,Everton,0,3,0,2,0,3
1387287185,7,276503,Fulham,276511,Brighton,1,0,1,0,1,0
1387277541,26,276503,Fulham,276511,Brighton,1,0,1,0,1,0
1387277421,11,276511,Brighton,276503,Fulham,1,1,0,1,1,1
1387268566,21,276503,Fulham,276511,Brighton,1,1,0,0,1,1
1387268446,6,276511,Brighton,276503,Fulham,1,0,1,0,1,0
1387287187,7,276514,Wolverhampton,276513,London Ágyúk,3,3,1,2,3,3
1387277482,18,276514,Wolverhampton,276513,London Ágyúk,1,0,1,0,1,0
1387277362,3,276513,London Ágyúk,276514,Wolverhampton,4,1,3,1,4,1
1387268636,29,276513,London Ágyúk,276514,Wolverhampton,0,2,0,1,0,2
1387268516,14,276514,Wolverhampton,276513,London Ágyúk,0,1,0,1,0,1
